id,name,popularity,followers,genres,user
50co4Is1HCEo8bhOyUWKpn,Young Thug,85,12525778,"melodic rap, rap, trap",M
56ZTgzPBDge0OvCGgMO3OY,Beach House,73,2841042,"dream pop, pop","I, C"
56dO9zeHKuU5Gvfc2kxHNw,Chevelle,70,2195715,"alternative metal, nu metal, post-grunge",C
579LsvZcRVKtToYjS0tkKz,Big Scarr,60,642414,"southern hip hop, trap",M
57DlMWmbVIf2ssJ8QBpBau,Toby Fox,75,2141296,"edm, soundtrack",I
57vWImR43h4CaDao012Ofp,Steve Lacy,79,6521000,indie,"I, C"
5AyEXCtu3xnnsTGCo4RVZh,Duster,64,1273182,"edm, shoegaze, slowcore","I, C"
5CFSYjc0PAiQvndFjafabk,Dean Blunt,66,465826,art pop,C
5D2pVmcsajqTCO3czYdzrF,PaperRoute Woo,49,21952,"brooklyn drill, drill",M
5DslL3PUa3BcRlCCEP64A4,The Hellp,55,94877,"electroclash, hyperpop, new rave",I
5F1aAS1duwlzExnPs3l2Xe,Pooh Shiesty,69,2160631,"southern hip hop, trap",M
5H0YoDsPDi9fObFmJtTjfN,Ariel Pink,49,337309,neo-psychedelic,C
5H4yInM5zmHqpKIoMNAx4r,Central Cee,80,9864218,"drill, grime, uk drill, uk grime",M
5INjqkS1o8h1imAzPqGZBb,Tame Impala,86,9716263,"indie, neo-psychedelic","M, I"
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,91,31306636,rap,"M, I, C"
5Kbx8AkkM7259YdQh4rTdX,A Beacon School,38,50151,dream pop,C
5NXHXK6hOCotCF8lvGM1I0,Porcupine Tree,54,770984,"art rock, progressive metal, progressive rock, space rock",C
5PbpKlxQE0Ktl5lcNABoFf,Car Seat Headrest,61,909790,"indie rock, midwest, midwest emo",I
5RMUeKq0dZxg9RHE1f0B9P,Tm88,39,98988,"hip hop, trap",M
5SBOWUBQdfga0xprPVBxOr,Idil Biret,50,17047,"classical, classical piano",I
5ShFRZUGJZL1qMkIPtYV5M,Gorky's Zygotic Mynci,26,27183,"britpop, neo-psychedelic, pop",I
5SyGEPymt1G2uto47tVWvZ,MadeinTYO,56,1033200,"hip hop, trap",M
5U2FH1VnxiZYbLcUVWGrov,Lady Radiator,46,29212,post-hardcore,C
5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,73,2742990,"big band, christmas, jazz, jazz blues, swing music, vocal, vocal jazz",I
5VadK1havLhK1OpKYsXv9y,D-Block Europe,75,1809764,"grime, uk drill",M
5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,67,1407686,"dream pop, gothic rock, shoegaze",C
5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,77,9687637,r&b,M
5c3GLXai8YOMid29ZEuR9y,Nick Drake,62,959143,"folk, singer-songwriter",I
5f7VJjfbwm532GiveGC0ZK,Lil Baby,86,21863653,"melodic rap, rap, trap",M
5iUnvXddCpOrbWKm7QMr6o,Vegyn,57,159924,"experimental hip hop, idm",C
5iwmHxCi5pm28BEykL5Fyd,Surf Rock Is Dead,35,34192,"dream pop, shoegaze, surf rock",C
5jTtGLk1mGFMY5lQOvJYUj,bôa,69,1209598,alternative rock,C
5o206eFLx38glA2bb4zqIU,Bright Eyes,55,647354,"indie, indie folk",I
5rIiXGQsgxh3nQhEpFIbx7,Augustine Mayuga Gonzales,45,3220,indie,I
5tPS5f7Gu3SaJQusdkehtE,jonatan leandoer96,46,178600,"cloud rap, rap",I
5wTAi7QkpP6kp8a54lmTOq,Johannes Brahms,66,1087047,"chamber music, classical, classical piano, orchestral",I
5wh9QhNjDHu546xgz3LqRF,Tirful,22,3139,indie,I
5x2Ufw4gSPVw4TNcGCpFT1,Moritz Moszkowski,38,12932,"classical, classical piano",I
5yPzzu25VzEk8qrGTLIrE1,Young Nudy,69,1700448,"rap, southern hip hop, trap",M
60S3PHPmmVaBxa0zrcAiHq,Hibou,37,45394,dream pop,C
62QURushyB5wug2XPwajwK,Polish National Radio Symphony Orchestra,46,9864,"classical, orchestral",I
62Xs9S1gahH6vGEJ24qdkK,Young Prisms,23,12948,"dream pop, shoegaze",C
62sC6lUEWRjbFqXpMmOk4G,Fugazi,55,691265,"hardcore punk, indie, noise rock, post-hardcore, punk",I
65smG2lgnRmrDB8g7z1hG0,Paper Route EMPIRE,56,135488,"southern hip hop, trap",M
