id,name,popularity,followers,genres,user,detected category
5jTtGLk1mGFMY5lQOvJYUj,bôa,69,1209598,alternative rock,C,Alternative/Indie; Rock/Metal
5o206eFLx38glA2bb4zqIU,Bright Eyes,55,647354,"indie, indie folk",I,Alternative/Indie; Folk
5rIiXGQsgxh3nQhEpFIbx7,Augustine Mayuga Gonzales,45,3220,indie,I,Alternative/Indie
5tPS5f7Gu3SaJQusdkehtE,jonatan leandoer96,46,178600,"cloud rap, rap",I,Hip Hop/Rap
5wTAi7QkpP6kp8a54lmTOq,Johannes Brahms,66,1087047,"chamber music, classical, classical piano, orchestral",I,Classical
5wh9QhNjDHu546xgz3LqRF,Tirful,22,3139,indie,I,Alternative/Indie
5x2Ufw4gSPVw4TNcGCpFT1,Moritz Moszkowski,38,12932,"classical, classical piano",I,Classical
5yPzzu25VzEk8qrGTLIrE1,Young Nudy,69,1700448,"rap, southern hip hop, trap",M,Hip Hop/Rap
60S3PHPmmVaBxa0zrcAiHq,Hibou,37,45394,dream pop,C,Pop
62QURushyB5wug2XPwajwK,Polish National Radio Symphony Orchestra,46,9864,"classical, orchestral",I,Classical
62Xs9S1gahH6vGEJ24qdkK,Young Prisms,23,12948,"dream pop, shoegaze",C,Pop; Rock/Metal
62sC6lUEWRjbFqXpMmOk4G,Fugazi,55,691265,"hardcore punk, indie, noise rock, post-hardcore, punk",I,Alternative/Indie; Rock/Metal
65smG2lgnRmrDB8g7z1hG0,Paper Route EMPIRE,56,135488,"southern hip hop, trap",M,Hip Hop/Rap
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,94,107981653,pop,M,Pop
66npZ0iLHcWmV2DAC8oYRF,GRAZER,35,9660,"dream pop, lo-fi indie, shoegaze",C,Alternative/Indie; Pop; Rock/Metal
67ea9eGLXYMsO2eYQRui3w,The Who,67,5854998,"classic rock, rock",C,Rock/Metal
67lytN32YpUxiSeWlKfHJ3,Yung Lean,68,1169708,"cloud rap, rap",I,Hip Hop/Rap
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,87,15207323,rage rap,M,Hip Hop/Rap
69HouC7BpXVxTAFwpckJHs,La Capone,40,183595,"chicago drill, drill",M,Hip Hop/Rap
6AUl0ykLLpvTktob97x9hO,Tee Grizzley,69,4060913,"detroit hip hop, rap, trap",M,Hip Hop/Rap
6AgTAQt8XS6jRWi4sX7w49,Polo G,78,13163309,"chicago drill, melodic rap",M,Hip Hop/Rap
6B5c4sch27tWHAGdarpPaW,Seether,71,3860963,"alternative metal, post-grunge, rock",C,Alternative/Indie; Rock/Metal
6DGLXvs8Y2RO8VfdOpFLml,David Peacock,44,6037,indie,I,Alternative/Indie
6DgP9otnZw5z6daOntINxp,Joel Corry,68,474083,dance pop,M,Pop
6GEykX11lQqp92UVOQQCC7,DJ Premier,67,327583,east coast hip hop,C,Hip Hop/Rap
6Ghvu1VvMGScGpOUJBAHNH,Deftones,83,7869837,"alternative metal, edm, nu metal, rap metal, rock, shoegaze","I, C",Alternative/Indie; Electronic; Hip Hop/Rap; Rock/Metal
6Ip8FS7vWT1uKkJSweANQK,Dave,81,6704120,"drill, grime, uk drill, uk grime",M,Hip Hop/Rap
6JvU33PZ8MtZyeFTESr09O,Kap G,44,503169,"southern hip hop, trap",M,Hip Hop/Rap
6LEeAFiJF8OuPx747e1wxR,Blood Orange,72,1366600,art pop,C,Pop
6LQYtKNp3ZsJ9xOzVVUj5j,ギヴン,53,584627,"anime, j-pop",I,Other; Pop
6NyJIFHAePjHR1pFxwisqz,Kurupt,61,778650,"g-funk, gangster rap, old school hip hop, west coast hip hop",M,Hip Hop/Rap
6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,66,3367059,classic rock,C,Rock/Metal
6QtgPSJPSzcnn7dPZ4VINp,King Von,77,8110732,"chicago drill, drill",M,Hip Hop/Rap
6R3Zn2xPFisfiGQIrp4sKd,Phantom Youth,34,5972,"dream pop, shoegaze",C,Pop; Rock/Metal
6SUbi1ZVEswHqRUWsxmq2m,Kinrose,36,20263,"drill, uk drill",M,Hip Hop/Rap
6T5tfhQCknKG4UnH90qGnz,DNCE,68,4597954,"dance pop, pop",M,Pop
6XZYAWJLL8UIbxAqjKj3cg,SOHN,46,284676,"alternative, indie",C,Alternative/Indie
6c9mrV72IOeJ5imCUK281g,Franz Gordon,56,43070,indie,I,Alternative/Indie
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,90,123345894,soft pop,M,Pop
