id,name,popularity,followers,genres,user,detected category,record_label
3ycxRkcZ67ALN3GQJ57Vig,Masego,71,1613284,"alternative r&b, r&b, soul",M,R&B,"EQT Recordings, EQT Recordings - Masego, EQT Recordings/Capitol Records, TrapHouseJazz"
3zmfs9cQwzJl575W1ZYXeT,Men I Trust,71,2349792,"bedroom pop, indie pop",C,Pop,"Independent, Indie, Men I Trust, independent"
40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,75,6138468,"alt, alternative rock, rock",I,Alternative/Indie; Rock/Metal,"BMG Rights Management/Universal Music Canada, Martha's Music, Napalm Records Handels GmbH, SMASHING PUMPKINS - DEAL #2 PHYSICAL, Sumerian Records, Virgin Records"
41SQP16hv1TioVYqdckmxT,Real Estate,46,409324,"dream pop, jangle pop, surf rock",C,Pop; Rock/Metal,"Domino Recording Co, Real Estate The Band"
42lt7Lr6m3qVIesp9pP4oH,Jaymay,29,26657,"anti-folk, indie",I,Alternative/Indie; Folk,"Jaymay Music, Jaymay Songs, Parlophone UK"
436sYg6CZhNefQJogaXeK0,Camille Saint-Saëns,67,441790,classical,I,Classical,"Berlin Classics, Chandos Records, Paraty, UME - Global Clearing House, Warner Classics"
45gHcnDnMC15sgx3VL7ROG,42 Dugg,70,1609971,"detroit hip hop, trap",M,Hip Hop/Rap,"4PF/CMG, 4PF/CMG/Interscope Records, CMG/4PF/Free Dem Boyz, CMG/Warlike/Interscope Records, NEW CMG 42 Dugg P&D"
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,81,12584931,"rap, southern hip hop, trap",M,Hip Hop/Rap,"Atlantic Records, Vulture Love, LLC/ Capitol Records, Vulture Love/Capitol Records"
485uL27bPomh29R4JmQehQ,Bob Seger,69,2904844,classic rock,C,Rock/Metal,"Bob Seger, Capitol Records (CAP)"
4BFLElxtBEdsdwGA1kHTsx,ElGrandeToto,70,4483357,"arabic hip hop, moroccan pop, moroccan rap",M,Hip Hop/Rap; International; Pop,"BNJ CITY BLOCK, ElGrandeToto"
4DFhHyjvGYa9wxdHUjtDkc,A Perfect Circle,64,2087185,alternative metal,C,Alternative/Indie; Rock/Metal,"A Perfect Circle, BMG Rights Management (US) LLC, Virgin Records"
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,79,5679919,"rap, trap",M,Hip Hop/Rap,"Motown Records, Quality Control Music/Motown Records, Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic"
4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,65,1453730,"folk, indie, indie folk",C,Alternative/Indie; Folk,"Anti/Epitaph, Nonesuch, Sub Pop Records"
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,80,10275630,"melodic rap, rap",M,Hip Hop/Rap,"Galactic / Republic Records, Galactic Records/Lil Tecca, Republic Records"
4Gso3d4CscCijv0lmajZWs,Don Toliver,86,7630205,"melodic rap, rap, trap",M,Hip Hop/Rap,"Cactus Jack / Atlantic, We Run It Ent./Cactus Jack/Atlantic"
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,77,3957626,"experimental pop, indie folk",C,Folk,Jagjaguwar
4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens,72,2379221,"baroque pop, indie",I,Alternative/Indie,Asthmatic Kitty
4MdQ9btIlh6rzIMA19tu3L,Joanne Robertson,48,41805,art pop,C,Pop,"AD 93, Escho, Textile, WORLD MUSIC, World Music"
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,84,19379652,melodic rap,M,Hip Hop/Rap,Generation Now/Atlantic
4OrizGCKhOrW6iDDJHN9xd,DIIV,48,413862,"dream pop, shoegaze",C,Pop; Rock/Metal,"Captured Tracks, Fantasy"
4TEJudQY2pXxVHPE3gD2EU,BlocBoy JB,55,1439605,"southern hip hop, trap",M,Hip Hop/Rap,"Bloc Nation, BlocBoy JB, Foundation Entertainment/Interscope Records"
4URLjSfWtdArslMrlA5suJ,muna,32,4784,"alt pop, indie pop",M,Pop,MMF Records
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,81,12532269,indie,I,Alternative/Indie,Republic Records
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",88,24805879,rap,I,Hip Hop/Rap,"Columbia, Odd Future"
