name,id.x,popularity,followers,user,id.y,collaborators,genre,record_label
Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,75,3581865,I,7y97mc3bZRFXzT2szRM4L4,"Antoni Wit, Daniel Barenboim, David Fray, Idil Biret, Polish National Radio Symphony Orchestra","classical, classical piano","Decca Music Group Ltd., Novus Promusica, UME - Global Clearing House, Verbier Festival Gold, Warner Classics"
Fredo,3rbtPd0NcvhO2AzMfzx90z,63,957712,M,3rbtPd0NcvhO2AzMfzx90z,"Central Cee, Dave, Pop Smoke, Tory Lanez","drill, grime, uk drill, uk grime","PG Records, RCA/Since 93, Since 93"
Free Party,2A1dxDBORVkkbHJDVDOhed,47,56049,M,2A1dxDBORVkkbHJDVDOhed,,"drill, uk drill","Omnificent Republic, Omnificent Republic Co"
From Indian Lakes,3YvQkjWJ5ykJVUNP7YbTy9,39,85861,C,3YvQkjWJ5ykJVUNP7YbTy9,,pop,"From Indian Lakes, Triple Crown Records, little shuteye"
Fugazi,62sC6lUEWRjbFqXpMmOk4G,55,691265,I,62sC6lUEWRjbFqXpMmOk4G,,"hardcore punk, indie, noise rock, post-hardcore, punk",Dischord Records
Future,1RyvyyTE3xzB2ZywiAwp0i,90,22924161,M,1RyvyyTE3xzB2ZywiAwp0i,"21 Savage, 42 Dugg, A$AP Rocky, DaBaby, Don Toliver, Drake, Gucci Mane, Gunna, Kanye West, Kendrick Lamar, Kodak Black, Lil Baby, Lil Durk, Lil Uzi Vert, Meek Mill, Metro Boomin, Migos, Offset, Playboi Carti, Quavo, Southside, The Weeknd, Tiësto, Travis Scott, Young Thug",rap,"Epic/Freebandz, Generation Now/Atlantic, Wilburn Holding Co./Boominati/Epic/Republic, Wilburn Holding Co./Epic"
Gabriel Fauré,2gClsBep1tt1rv1CN210SO,62,233670,I,2gClsBep1tt1rv1CN210SO,"Camille Saint-Saëns, Christine Croshaw, Daniel Barenboim","classical, requiem","Novus Promusica, UME - Global Clearing House, Warner Classics"
George Clanton,1G5v3lpMz7TeoW0yGpRQHr,59,140808,C,1G5v3lpMz7TeoW0yGpRQHr,,"chillwave, vaporwave","100% Electronica, 100% Electronica LLC, Blissful Serenity Industries, LLC"
Georgian Folk,3D21btY4uY8j3LYwAR7zwz,52,24770,M,3D21btY4uY8j3LYwAR7zwz,,"folk, georgian folk",Unknown
German Error Message,4Zjxd2hv7Hb8zJMIy8A1TM,41,43220,C,4Zjxd2hv7Hb8zJMIy8A1TM,,"ambient folk, lo-fi indie, slowcore","Cave Tour Records, German Error Message"
